Match Number,Blue 1,Blue 2,Red 1,Red 2
1,9415,16410,5741,724
2,15342,11260,19366,11468
3,22508,14361,207,23114
4,15173,18527,3189,3409
5,17962,22509,18225,10949
6,19824,9879,13181,14503
7,7242,11770,19502,16417
8,7129,14212,12887,14140
9,14380,15534,19889,18763
10,10477,19411,6899,17080
11,18317,18492,16671,6272
12,6165,22222,6133,14023
13,724,11468,10949,23114
14,9415,15173,15342,207
15,3189,16410,22509,19824
16,22508,14140,11770,9879
17,19502,18225,18527,19366
18,17962,13181,18763,14361
19,6899,5741,18492,7129
20,17080,6165,18317,19889
21,22222,12887,6272,19411
22,11260,14023,14380,3409
23,14503,16671,14212,15534
24,7242,16417,6133,10477
25,15173,9879,22509,19502
26,10949,19366,9415,3189
27,6899,22508,724,18763
28,11770,207,17080,17962
29,14361,18225,15342,19889
30,12887,6165,14380,5741
31,13181,18317,14140,14023
32,10477,14503,18527,6272
33,11260,18492,7129,6133
34,23114,16410,3409,16671
35,11468,19411,15534,16417
36,19824,14212,22222,7242
37,14361,19502,10949,17080
38,18225,9879,9415,6899
39,14023,19889,724,17962
40,15342,11770,14503,12887
41,22509,18763,5741,10477
42,3409,19366,13181,18492
43,6133,14380,3189,19411
44,14212,18317,11468,22508
45,16671,7129,7242,6165
46,14140,22222,15534,11260
47,18527,16410,207,16417
48,6272,23114,19824,15173
49,10477,19889,12887,9415
50,18492,22509,11770,13181
51,19502,3409,19411,17962
52,22508,18763,14503,14023
53,16671,9879,3189,11468
54,724,17080,22222,18225
55,6133,15342,14212,16410
56,7129,15534,18527,23114
57,11260,6165,6272,14361
58,14140,19824,19366,5741
59,6899,15173,18317,16417
60,14380,7242,207,10949
61,3189,13181,22508,9415
62,19411,18492,724,9879
63,10477,14023,14212,18225
64,19889,11468,22222,14503
65,17080,11260,23114,22509
66,15534,11770,19366,6272
67,16417,3409,6165,15342
68,7129,14380,18317,19824
69,18763,10949,16671,14140
70,12887,15173,17962,16410
71,6133,6899,19502,207
72,14361,18527,5741,7242
73,14212,13181,19411,11260
74,11770,23114,14023,9415
75,6165,18492,15534,18225
76,19366,16417,22509,14503
77,3409,11468,14140,10477
78,9879,16410,7129,19889
79,724,3189,6272,207
80,22222,14380,14361,15173
81,18763,17080,12887,19824
82,6899,15342,7242,10949
83,16671,5741,19502,22508
84,18527,6133,18317,17962
85,19411,14140,6165,22509
86,11468,14023,18492,16410
87,3409,207,9879,15534
88,14361,14503,9415,7129
89,19366,23114,18763,22222
90,17080,14380,16417,14212
91,18225,11260,15173,11770
92,10949,5741,13181,6133
93,6272,17962,7242,22508
94,18317,3189,15342,12887
95,724,10477,19824,19502
96,6899,19889,18527,16671
97,19411,207,19366,14023
98,16410,14503,14140,17080
99,9415,18492,18763,15173
100,11468,9879,14361,6133
101,7129,16417,22508,22222
102,18225,18317,23114,7242
103,15342,13181,6165,724
104,6272,14212,5741,3409
105,19824,10949,18527,11770
106,19889,19502,11260,3189
107,10477,17962,14380,16671
108,12887,15534,6899,22509
109,22508,17080,6133,19366
110,207,18225,18763,7129
111,14503,7242,19411,15173
112,724,18317,14361,3409
113,10949,14212,9879,6165
114,16417,5741,11260,19889
115,3189,23114,10477,18492
116,14140,6272,19502,14380
117,22509,14023,16671,15342
118,13181,18527,11468,12887
119,9415,15534,17962,19824
120,22222,11770,6899,16410
121,19366,724,15173,14212
122,14503,6133,3409,18225
123,207,5741,18317,10477
124,19411,10949,19889,22508
125,6272,14023,17080,7129
126,12887,7242,9879,11260
127,9415,22509,14380,11468
128,16671,19824,16417,14361
129,15342,18527,18492,22222
130,17962,14140,23114,6899
131,15534,19502,13181,16410
132,3189,18763,11770,6165
